,0,1,2,3,4
Center 0,-1.1666363784963523,-2.612110332170125,-5.886919360132609,1.4103371081859186,8.890645185061944
Center 1,0.31081335861006737,-3.356243221606488,-5.0884745571928605,2.7949291422575957,8.480005186189496
Center 2,3.0090717236856137,-3.313706913048042,-6.198232584765269,1.7561860840739656,8.612340531665927
Center 3,1.228386716143617,-1.681789888720648,-4.997820772997921,2.369723741453293,8.88662114401265
Center 4,0.31753360711136724,-1.5636087642469556,-6.852023691673625,2.7900781649018067,7.782865751855116
