,component,explained_var,medHouseIncome,unemplRate,medHouseVal,perOwnerOcc,workTravelAv
0,0,0.4013236363819558,-0.6042864353933254,0.3745397681482484,-0.5417415540924886,-0.19222307660780064,0.4051225042675005
1,1,0.30899338119569913,0.18905014278289367,-0.34858955518418283,-0.2857530641926188,0.6810060658028152,0.5452717580936706
2,2,0.1442888077282567,-0.28907808357216097,-0.8568428946320146,-0.1422461097053555,-0.4020201054259119,-0.01999986559721524
