,0,1,2,3,4,5,6,7,8,9
Center 0,0.8038938637734048,0.7591499323825563,1.4388865081495177,10.74348750050347,2.030475552504748,2.28329122242041,2.675659517199379,1.6634404431175782,0.9672812327329694,3.994168761841502
Center 1,1.1045949505170518,1.791420012998525,2.3834141518917074,10.98655613556012,1.9977853036416908,1.617790356521576,1.7860000069771436,2.17023129242578,1.847731952139551,4.864399269047668
Center 2,0.3429344273065821,1.1192820444275622,0.5528449827189708,11.050219810770955,3.8235986147258596,3.8540532237053267,2.1966822549378278,1.7556349836280825,1.5563567394681492,4.4338011041910645
